,g1,g2
266,AGPAT2,ABCG8
267,AGPAT2,ANKRD28
268,AGPAT2,APLNR
269,AGPAT2,AQP3
270,AGPAT2,ATP12A
271,AGPAT2,ATP1A3
272,AGPAT2,ATP6V0A1
273,AGPAT2,C3ORF52
274,AGPAT2,CAV2
275,AGPAT2,CLEC2D
276,AGPAT2,CLN3
277,AGPAT2,COMTD1
278,AGPAT2,ESR1
279,AGPAT2,EVA1C
280,AGPAT2,FAM131C
281,AGPAT2,FFAR1
282,AGPAT2,FPR2
283,AGPAT2,GMPS
284,AGPAT2,GP9
285,AGPAT2,GPBAR1
286,AGPAT2,GPR182
287,AGPAT2,HIST1H1D
288,AGPAT2,HIST1H4A
289,AGPAT2,HPCAL1
290,AGPAT2,HSPA2
291,AGPAT2,HSPA8
292,AGPAT2,INS
293,AGPAT2,INTU
294,AGPAT2,MFSD11
295,AGPAT2,MFSD4
296,AGPAT2,MS4A4A
297,AGPAT2,ORF7B
298,AGPAT2,P2RY6
299,AGPAT2,P2RY8
300,AGPAT2,PCDHB3
301,AGPAT2,PCDHB7
302,AGPAT2,PHF11
303,AGPAT2,PHRF1
304,AGPAT2,RAMP3
305,AGPAT2,RNF5
306,AGPAT2,SEC62
307,AGPAT2,SGCA
308,AGPAT2,SIGMAR1
309,AGPAT2,SLC15A3
310,AGPAT2,SLC1A1
311,AGPAT2,SLC22A16
312,AGPAT2,SLC23A2
313,AGPAT2,SLC2A1
314,AGPAT2,SLC2A8
315,AGPAT2,SLC39A12
316,AGPAT2,SLC6A15
317,AGPAT2,TMEM184A
318,AGPAT2,TMEM70
319,AGPAT2,TMPRSS4
320,AGPAT2,TNFSF13
321,AGPAT2,TRIM25
322,AGPAT2,TSPAN17
323,AGPAT2,TTYH1
324,AGPAT2,TUSC2
325,AGPAT2,UNC93B1
326,AGPAT2,VIPR1
327,AGPAT2,VSIG4
328,AGPAT2,NSP3
329,AGPAT2,NSP4
771,OAS2,ACACA
772,OAS2,APP
773,OAS2,ATMIN
774,OAS2,CKAP2
775,OAS2,CLK3
776,OAS2,CFD
777,OAS2,EIF2AK2
778,OAS2,FBXO17
779,OAS2,FNDC5
780,OAS2,GIMAP8
781,OAS2,IFIT1
782,OAS2,IFIT2
783,OAS2,IFIT3
784,OAS2,LGALS3BP
785,OAS2,MB21D1
786,OAS2,OAS2
787,OAS2,PRKG1
788,OAS2,PARP14
789,OAS2,RSAD2
790,OAS2,SASH1
791,OAS2,TP53
792,OAS2,TLR7
793,OAS2,TMEM173
3133,ABAT,ACP6
3134,ABAT,ADSL
3135,ABAT,AKR1B1
3136,ABAT,AKR1C2
3137,ABAT,AKR1C3
3138,ABAT,ALDH5A1
3139,ABAT,ALDH7A1
3140,ABAT,ANXA5
3141,ABAT,ASGR1
3142,ABAT,ATOX1
3143,ABAT,ABAT
3144,ABAT,ALDH5A1
3145,ABAT,BAG3
3146,ABAT,BAG3
3147,ABAT,C12ORF5
3148,ABAT,C1ORF228
3149,ABAT,C21ORF33
3150,ABAT,CBS
3151,ABAT,CFL1
3152,ABAT,CFL2
3153,ABAT,CLPP
3154,ABAT,CMBL
3155,ABAT,CNN2
3156,ABAT,DSTN
3157,ABAT,ECI1
3158,ABAT,ENO1
3159,ABAT,EPHX1
3160,ABAT,ESD
3161,ABAT,ETFA
3162,ABAT,ETFB
3163,ABAT,FAH
3164,ABAT,FAHD1
3165,ABAT,FKBP1A
3166,ABAT,FKBP3
3167,ABAT,GDA
3168,ABAT,GLTP
3169,ABAT,GOT2
3170,ABAT,GPI
3171,ABAT,GPM6A
3172,ABAT,HINT2
3173,ABAT,HMGCS1
3174,ABAT,HNRNPL
3175,ABAT,HSD17B14
3176,ABAT,HSPE1
3177,ABAT,LDHA
3178,ABAT,LDHAL6B
3179,ABAT,LGR4
3180,ABAT,MAPT
3181,ABAT,MDH1
3182,ABAT,MSRA
3183,ABAT,MAPT
3184,ABAT,NANP
3185,ABAT,NUFIP1
3186,ABAT,PDCD6IP
3187,ABAT,PDXK
3188,ABAT,PEBP1
3189,ABAT,PGD
3190,ABAT,PGM1
3191,ABAT,PGM2
3192,ABAT,PRPF8
3193,ABAT,PTGR1
3194,ABAT,PYURF
3195,ABAT,PPP1R9B
3196,ABAT,QDPR
3197,ABAT,RAD23B
3198,ABAT,SEC22C
3199,ABAT,SELENBP1
3200,ABAT,SERINC1
3201,ABAT,SOD2
3202,ABAT,SORD
3203,ABAT,SYBU
3204,ABAT,TRIM5
3205,ABAT,TST
3206,ABAT,TIA1
3207,ABAT,ZSCAN29
3208,ABAT,ABAT
3209,ABAT,MIB1
4923,ALAS2,ALAS1
4924,ALAS2,ALAS2
4925,ALAS2,BANP
4926,ALAS2,FECH
4927,ALAS2,GRB2
4928,ALAS2,PPOX
4929,ALAS2,SUCLA2
37736,ATP1A1,A2M
37737,ATP1A1,AAR2
37738,ATP1A1,ABCG1
37739,ATP1A1,ACADM
37740,ATP1A1,ACLY
37741,ATP1A1,ADAT2
37742,ATP1A1,ADRB2
37743,ATP1A1,ADSS
37744,ATP1A1,AFG3L2
37745,ATP1A1,AGR2
37746,ATP1A1,AHCYL1
37747,ATP1A1,AHSA1
37748,ATP1A1,AIFM1
37749,ATP1A1,AIMP2
37750,ATP1A1,AKAP1
37751,ATP1A1,AKT1
37752,ATP1A1,ALDH1A1
37753,ATP1A1,ALDH7A1
37754,ATP1A1,ANKRD55
37755,ATP1A1,AP2A2
37756,ATP1A1,ARF6
37757,ATP1A1,ARL4C
37758,ATP1A1,ARMCX3
37759,ATP1A1,ASPH
37760,ATP1A1,ASXL1
37761,ATP1A1,ATF2
37762,ATP1A1,ATP1A3
37763,ATP1A1,ATP1B1
37764,ATP1A1,ATP1B2
37765,ATP1A1,ATP1B3
37766,ATP1A1,ATP2A2
37767,ATP1A1,ATP2B1
37768,ATP1A1,ATP2B4
37769,ATP1A1,ATP4A
37770,ATP1A1,ATP5A1
37771,ATP1A1,ATP5C1
37772,ATP1A1,ATP5L
37773,ATP1A1,ATP6V0D1
37774,ATP1A1,ATP6V1A
37775,ATP1A1,ATXN3
37776,ATP1A1,AURKB
37777,ATP1A1,ANK2
37778,ATP1A1,ANK3
37779,ATP1A1,APH1A
37780,ATP1A1,APH1B
37781,ATP1A1,ATP1A1
37782,ATP1A1,ATP1A2
37783,ATP1A1,ATP1A3
37784,ATP1A1,ATP1B1
37785,ATP1A1,ATP1B2
37786,ATP1A1,ATP2B1
37787,ATP1A1,ATXN1
37788,ATP1A1,B3GAT1
37789,ATP1A1,B4GALT2
37790,ATP1A1,BAG1
37791,ATP1A1,BIRC3
37792,ATP1A1,BRD4
37793,ATP1A1,BRIX1
37794,ATP1A1,BMPR1A
37795,ATP1A1,C11ORF52
37796,ATP1A1,C3ORF17
37797,ATP1A1,C4ORF32
37798,ATP1A1,CAD
37799,ATP1A1,CALD1
37800,ATP1A1,CANX
37801,ATP1A1,CAV1
37802,ATP1A1,CCDC47
37803,ATP1A1,CCDC8
37804,ATP1A1,CCDC86
37805,ATP1A1,CCT2
37806,ATP1A1,CCT3
37807,ATP1A1,CCT6A
