,g1,g2
578,HPGD,APP
579,HPGD,ATG5
580,HPGD,C18ORF21
581,HPGD,CCR1
582,HPGD,HPGD
583,HPGD,MBNL1
584,HPGD,NR2C2
585,HPGD,OR2A4
586,HPGD,SLC25A6
587,HPGD,TMEM173
588,HPGD,NSP15
589,HPGD,NSP16
2165,HMGCS2,APP
2166,HMGCS2,CUL4A
2167,HMGCS2,FBXO7
2168,HMGCS2,FANCD2
2169,HMGCS2,HSD17B10
2170,HMGCS2,HMGCS2
2171,HMGCS2,MYH9
2172,HMGCS2,MIB1
2173,HMGCS2,NFATC1
2174,HMGCS2,ORF3A
2175,HMGCS2,PDE4DIP
2176,HMGCS2,SMAD4
2177,HMGCS2,SSR3
2178,HMGCS2,TEX101
2179,HMGCS2,YWHAQ
6143,HTR3E,AMFR
6144,HTR3E,ARL6IP5
6145,HTR3E,ATP2A3
6146,HTR3E,CYP51A1
6147,HTR3E,DHRS7
6148,HTR3E,GET4
6149,HTR3E,NPW
8441,AKAP3,AKAP4
8442,AKAP3,AKAP3
8443,AKAP3,BRAP
8444,AKAP3,BRAP
8445,AKAP3,GNA13
8446,AKAP3,PRKAR1A
8447,AKAP3,PRKAR2A
8448,AKAP3,ROPN1
8449,AKAP3,ROPN1L
8450,AKAP3,SPA17
8451,AKAP3,NSP7
10677,ABRACL,ACP1
10678,ABRACL,CNTRL
10679,ABRACL,CSK
10680,ABRACL,DCTN1
10681,ABRACL,DDX58
10682,ABRACL,RPGRIP1L
10683,ABRACL,SASS6
10948,ADAM15,ADAM33
10949,ADAM15,ARHGEF6
10950,ADAM15,ARHGEF7
10951,ADAM15,ATXN1
10952,ADAM15,ADAM15
10953,ADAM15,BANP
10954,ADAM15,BRICD5
10955,ADAM15,CANX
10956,ADAM15,CLEC2B
10957,ADAM15,CUL3
10958,ADAM15,DPP4
10959,ADAM15,ECEL1
10960,ADAM15,EDN3
10961,ADAM15,ESR2
10962,ADAM15,FBXO6
10963,ADAM15,FHL3
10964,ADAM15,FUT8
10965,ADAM15,FYN
10966,ADAM15,GRB2
10967,ADAM15,HCK
10968,ADAM15,HNRNPH1
10969,ADAM15,LCK
10970,ADAM15,LMBR1L
10971,ADAM15,LYN
10972,ADAM15,LYPD4
10973,ADAM15,MAD2L1
10974,ADAM15,MAD2L2
10975,ADAM15,MAPK1
10976,ADAM15,MAPK3
10977,ADAM15,NCK1
10978,ADAM15,NONO
10979,ADAM15,NPHP1
10980,ADAM15,NUP62
10981,ADAM15,ODAM
10982,ADAM15,ORF7A
10983,ADAM15,ORF7B
10984,ADAM15,ORF8
10985,ADAM15,PACSIN3
10986,ADAM15,PLD3
10987,ADAM15,PRG2
10988,ADAM15,PTK6
10989,ADAM15,RBPMS
10990,ADAM15,SDF2L1
10991,ADAM15,SFTPC
10992,ADAM15,SH3GL2
10993,ADAM15,SH3GLB1
10994,ADAM15,SH3PXD2A
10995,ADAM15,SH3RF3
10996,ADAM15,SNX30
10997,ADAM15,SNX33
10998,ADAM15,SNX9
10999,ADAM15,SORBS2
11000,ADAM15,SP4
11001,ADAM15,SRC
11002,ADAM15,ST8SIA5
11003,ADAM15,SGIP1
11004,ADAM15,TMEM106B
11005,ADAM15,TMPRSS11B
11006,ADAM15,TMPRSS2
11007,ADAM15,TMPRSS4
11008,ADAM15,TRIM25
11009,ADAM15,TRIP13
11010,ADAM15,TMEM173
11011,ADAM15,YES1
11012,ADAM15,NSP4
11353,ADAM32,ADAM9
11354,ADAM32,ADAMTS1
11355,ADAM32,ASPHD2
11356,ADAM32,ADAM12
