,g1,g2
2165,HMGCS2,APP
2166,HMGCS2,CUL4A
2167,HMGCS2,FBXO7
2168,HMGCS2,FANCD2
2169,HMGCS2,HSD17B10
2170,HMGCS2,HMGCS2
2171,HMGCS2,MYH9
2172,HMGCS2,MIB1
2173,HMGCS2,NFATC1
2174,HMGCS2,ORF3A
2175,HMGCS2,PDE4DIP
2176,HMGCS2,SMAD4
2177,HMGCS2,SSR3
2178,HMGCS2,TEX101
2179,HMGCS2,YWHAQ
2930,OXSM,AARS2
2931,OXSM,ACACA
2932,OXSM,ANLN
2933,OXSM,APP
2934,OXSM,ATF6B
2935,OXSM,CASQ2
2936,OXSM,CHRNA7
2937,OXSM,CLPP
2938,OXSM,CS
2939,OXSM,CFD
2940,OXSM,DBF4B
2941,OXSM,DHRS4
2942,OXSM,DNAJB6
2943,OXSM,DYX1C1
2944,OXSM,EGFR
2945,OXSM,FAM81B
2946,OXSM,FNDC5
2947,OXSM,GTF2B
2948,OXSM,HNRNPM
2949,OXSM,JUNB
2950,OXSM,KRAS
2951,OXSM,LARS
2952,OXSM,LYRM2
2953,OXSM,MRM1
2954,OXSM,NDUFAB1
2955,OXSM,NEK4
2956,OXSM,NR0B2
2957,OXSM,NUDT13
2958,OXSM,OXSM
2959,OXSM,PDHA1
2960,OXSM,PDK1
2961,OXSM,SERBP1
2962,OXSM,SOX2
2963,OXSM,TMEM184A
2964,OXSM,VAMP4
5059,NT5DC3,AP1B1
5060,NT5DC3,ARHGEF6
5061,NT5DC3,CLINT1
5062,NT5DC3,CLPP
5063,NT5DC3,CUL2
5064,NT5DC3,CUL4A
5065,NT5DC3,CFD
5066,NT5DC3,DCPS
5067,NT5DC3,DDR1
5068,NT5DC3,DNAJC5
5069,NT5DC3,DPYSL2
5070,NT5DC3,DPP4
5071,NT5DC3,ELAVL1
5072,NT5DC3,EPRS
5073,NT5DC3,EXOSC2
5074,NT5DC3,FKBP10
5075,NT5DC3,FNDC5
5076,NT5DC3,GSK3B
5077,NT5DC3,HNRNPH1
5078,NT5DC3,HSCB
5079,NT5DC3,HSPD1
5080,NT5DC3,IAH1
5081,NT5DC3,IL25
5082,NT5DC3,ITGB4
5083,NT5DC3,KIF11
5084,NT5DC3,LARS
5085,NT5DC3,MARVELD2
5086,NT5DC3,MAT2A
5087,NT5DC3,MRM1
5088,NT5DC3,NDUFS7
5089,NT5DC3,NT5DC2
5090,NT5DC3,NUDC
5091,NT5DC3,NT5DC3
5092,NT5DC3,PDK1
5093,NT5DC3,PXN
5094,NT5DC3,RAD23A
5095,NT5DC3,RBM15
5096,NT5DC3,RCC1
5097,NT5DC3,RIPK1
5098,NT5DC3,RNMT
5099,NT5DC3,RXRA
5100,NT5DC3,S100A2
5101,NT5DC3,SERBP1
5102,NT5DC3,SMAD3
5103,NT5DC3,TPD52
5104,NT5DC3,VPS35
5105,NT5DC3,XPO1
5106,NT5DC3,YARS2
5107,NT5DC3,ZNF211
5565,AZI2,APBA3
