,g1,g2
6580,PFKFB2,BMH1
6581,PFKFB2,BMH2
6582,PFKFB2,CBY1
6583,PFKFB2,COPS2
6584,PFKFB2,CPSF7
6585,PFKFB2,CSK
6586,PFKFB2,CUL7
6587,PFKFB2,CUL9
6588,PFKFB2,CYLD
6589,PFKFB2,DOCK8
6590,PFKFB2,ESR1
6591,PFKFB2,FAM83B
6592,PFKFB2,GCK
6593,PFKFB2,HIST1H3E
6594,PFKFB2,HNRNPH1
6595,PFKFB2,KIAA1429
6596,PFKFB2,MOB2
6597,PFKFB2,NEK4
6598,PFKFB2,NPHP4
6599,PFKFB2,PAGE4
6600,PFKFB2,PARVB
6601,PFKFB2,PDE4D
6602,PFKFB2,PFKFB3
6603,PFKFB2,PFKFB4
6604,PFKFB2,PGAP2
6605,PFKFB2,POLDIP3
6606,PFKFB2,PRKACA
6607,PFKFB2,PRKCA
6608,PFKFB2,PRMT1
6609,PFKFB2,PSMD14
6610,PFKFB2,PFKFB2
6611,PFKFB2,PRKCA
6612,PFKFB2,RAB3IP
6613,PFKFB2,RBM15
6614,PFKFB2,RMDN3
6615,PFKFB2,REEP1
6616,PFKFB2,SARNP
6617,PFKFB2,SCYL2
6618,PFKFB2,SH2D3A
6619,PFKFB2,SMAD4
6620,PFKFB2,SMURF1
6621,PFKFB2,SNX27
6622,PFKFB2,SPSB4
6623,PFKFB2,SRRM2
6624,PFKFB2,TRIM21
6625,PFKFB2,TRIM25
6626,PFKFB2,UBC
6627,PFKFB2,UFL1
6628,PFKFB2,WHSC1
6629,PFKFB2,YWHAB
6630,PFKFB2,YWHAE
6631,PFKFB2,YWHAG
6632,PFKFB2,YWHAH
6633,PFKFB2,YWHAQ
6634,PFKFB2,YWHAZ
6635,PFKFB2,YWHAB
6636,PFKFB2,YWHAE
6637,PFKFB2,YWHAQ
6638,PFKFB2,YWHAZ
6639,PFKFB2,ZC3H11A
6640,PFKFB2,ZCCHC17
8540,AKAP6,AKAP6
8541,AKAP6,CALM1
8542,AKAP6,CDC5L
8543,AKAP6,CFTR
8544,AKAP6,DISC1
8545,AKAP6,DTNBP1
8546,AKAP6,KIAA1429
8547,AKAP6,MYC
8548,AKAP6,OPTN
8549,AKAP6,PDE4A
8550,AKAP6,PDE4D
8551,AKAP6,PPP2CA
8552,AKAP6,PRKAR2A
8553,AKAP6,PPP2CA
8554,AKAP6,PRKACA
8555,AKAP6,RYR1
8556,AKAP6,RYR2
8557,AKAP6,RYR1
8558,AKAP6,RYR2
18014,ARL5A,ABCD3
18015,ARL5A,ACACA
18016,ARL5A,ACACB
18017,ARL5A,ACBD5
18018,ARL5A,APP
18019,ARL5A,ARFGAP2
18020,ARL5A,ARL5B
18021,ARL5A,ATP7A
