,g1,g2
794,OAS3,ARF1
795,OAS3,ATXN7L3B
796,OAS3,ADAR
797,OAS3,BRPF3
798,OAS3,C11ORF98
799,OAS3,CAPRIN1
800,OAS3,CCDC22
801,OAS3,CDC5L
802,OAS3,CHMP1A
803,OAS3,CIT
804,OAS3,CNP
805,OAS3,CFD
806,OAS3,DHX30
807,OAS3,E2F4
808,OAS3,EIF6
809,OAS3,ESR2
810,OAS3,ETAA1
811,OAS3,EXOSC10
812,OAS3,EXOSC3
813,OAS3,EEA1
814,OAS3,FBP1
815,OAS3,FBXW7
816,OAS3,FTSJ3
817,OAS3,FNDC5
818,OAS3,G3BP2
819,OAS3,GLTSCR2
820,OAS3,GNL2
821,OAS3,GNL3
822,OAS3,GNL3L
823,OAS3,GPD2
824,OAS3,GTPBP4
825,OAS3,HDAC6
826,OAS3,HIST1H1B
827,OAS3,HIST1H1C
828,OAS3,HSPA12A
829,OAS3,HULC
830,OAS3,HELZ2
831,OAS3,IFRD2
832,OAS3,ITGB3
833,OAS3,KIAA1429
834,OAS3,LLPH
835,OAS3,LYAR
836,OAS3,MAVS
837,OAS3,MCM2
838,OAS3,MKI67
839,OAS3,MYC
840,OAS3,NOP10
841,OAS3,NOP16
842,OAS3,NTRK1
843,OAS3,OAS3
844,OAS3,PABPC4
845,OAS3,PARK2
846,OAS3,PPM1G
847,OAS3,PRPF19
848,OAS3,PTBP1
849,OAS3,PARP14
850,OAS3,PARP9
851,OAS3,RFC4
852,OAS3,RPL39
853,OAS3,RPLP1
854,OAS3,SDAD1
855,OAS3,SKIV2L2
856,OAS3,SP110
857,OAS3,TLN1
858,OAS3,TOP1
859,OAS3,TOP1
860,OAS3,ZNF622
861,OAS3,NSP5
10307,ABL1,ABI1
10308,ABL1,ABI2
10309,ABL1,ABL2
10310,ABL1,ACTA1
10311,ABL1,ANAPC15
10312,ABL1,ANKRA2
10313,ABL1,AP2A1
10314,ABL1,AP2B1
10315,ABL1,AP2M1
10316,ABL1,AR
10317,ABL1,ARHGAP17
10318,ABL1,ATM
10319,ABL1,ATR
10320,ABL1,ABL1
10321,ABL1,ANAPC5
10322,ABL1,ASRGL1
10323,ABL1,BACE2
10324,ABL1,BAG1
10325,ABL1,BCAR1
10326,ABL1,BCL2L1
10327,ABL1,BCR
10328,ABL1,BMP2K
10329,ABL1,BRCA1
10330,ABL1,CABLES2
10331,ABL1,CASP9
10332,ABL1,CAT
10333,ABL1,CBL
10334,ABL1,CBLB
10335,ABL1,CCND2
10336,ABL1,CDK1
10337,ABL1,CDKN1A
10338,ABL1,CDKN1B
10339,ABL1,CDON
10340,ABL1,CKAP4
10341,ABL1,CREB1
10342,ABL1,CRK
10343,ABL1,CRKL
10344,ABL1,CTNNB1
10345,ABL1,CTTN
10346,ABL1,CUL4A
10347,ABL1,CUL4B
10348,ABL1,CBL
10349,ABL1,CDON
10350,ABL1,CISH
10351,ABL1,CREB1
10352,ABL1,CRK
10353,ABL1,CRKL
10354,ABL1,DAPK1
10355,ABL1,DDB1
10356,ABL1,DDX5
10357,ABL1,DOK1
10358,ABL1,DOK2
10359,ABL1,DRG1
10360,ABL1,DVL2
10361,ABL1,DDB1
10362,ABL1,DOK1
10363,ABL1,DOK3
10364,ABL1,EEF1G
10365,ABL1,EGFR
10366,ABL1,EIF2A
10367,ABL1,EMD
10368,ABL1,EPHA3
10369,ABL1,EPHB2
10370,ABL1,EPS15
10371,ABL1,ERBB2
10372,ABL1,ERBB3
10373,ABL1,ERBB4
10374,ABL1,ERRFI1
10375,ABL1,EVL
10376,ABL1,EWSR1
10377,ABL1,EEA1
10378,ABL1,ENAH
10379,ABL1,FBXO7
10380,ABL1,FGFR1OP
10381,ABL1,FOS
10382,ABL1,FUS
10383,ABL1,FMN1
10384,ABL1,GAB3
10385,ABL1,GJA8
10386,ABL1,GPX1
10387,ABL1,GRAP2
10388,ABL1,GRB10
10389,ABL1,GRB2
10390,ABL1,GTF2F1
10391,ABL1,GZMB
10392,ABL1,GRAP2
10393,ABL1,GRB2
10394,ABL1,HCK
10395,ABL1,HERC1
10396,ABL1,HIPK2
10397,ABL1,HNRNPM
10398,ABL1,HSP90AA1
10399,ABL1,HSPA4
10400,ABL1,HSPA8
10401,ABL1,HSPD1
10402,ABL1,HSPE1
10403,ABL1,HUWE1
10404,ABL1,ILF3
10405,ABL1,INPPL1
10406,ABL1,INPP5D
10407,ABL1,JAK1
10408,ABL1,JUN
10409,ABL1,JAK1
10410,ABL1,KIAA1429
10411,ABL1,KIT
10412,ABL1,KRT31
10413,ABL1,LARS
10414,ABL1,LATS2
10415,ABL1,LRRC59
10416,ABL1,LRRK1
10417,ABL1,MAPT
10418,ABL1,MAVS
10419,ABL1,MBP
10420,ABL1,MDM2
10421,ABL1,MDM4
10422,ABL1,MICAL1
10423,ABL1,MSH5
10424,ABL1,MTOR
10425,ABL1,MUC1
10426,ABL1,MBP
10427,ABL1,MSH5
10428,ABL1,NAA25
10429,ABL1,NARS
10430,ABL1,NCK1
10431,ABL1,NCKAP1
10432,ABL1,NCOA3
10433,ABL1,NEDD4
10434,ABL1,NEDD4L
10435,ABL1,NEDD9
10436,ABL1,NFKBIA
10437,ABL1,NTRK1
10438,ABL1,NCK1
10439,ABL1,NEDD4
10440,ABL1,PAG1
10441,ABL1,PAK2
10442,ABL1,PAK4
10443,ABL1,PARK2
10444,ABL1,PARP1
10445,ABL1,PCNA
10446,ABL1,PDE4D
10447,ABL1,PDGFRB
10448,ABL1,PFDN4
10449,ABL1,PIK3R1
10450,ABL1,PIK3R2
10451,ABL1,PLCG1
10452,ABL1,PLEKHA4
10453,ABL1,PPM1B
10454,ABL1,PRDX1
10455,ABL1,PRKCZ
10456,ABL1,PRKDC
10457,ABL1,PSMA4
10458,ABL1,PSMA7
10459,ABL1,PSMD4
10460,ABL1,PSTPIP1
10461,ABL1,PTGES3
10462,ABL1,PTPN6
10463,ABL1,PARK2
10464,ABL1,PPARG
10465,ABL1,PTPN11
10466,ABL1,PXN
10467,ABL1,RAD51
10468,ABL1,RAD51B
10469,ABL1,RAD9A
10470,ABL1,RAN
10471,ABL1,RAPGEF1
10472,ABL1,RASA1
10473,ABL1,RB1
10474,ABL1,REPS1
10475,ABL1,RFX1
10476,ABL1,RIN1
10477,ABL1,RPL37
10478,ABL1,RPLP1
10479,ABL1,RPS21
10480,ABL1,RPS6KB1
10481,ABL1,RTFDC1
10482,ABL1,RYBP
10483,ABL1,RAPGEF1
10484,ABL1,RASA1
10485,ABL1,RIN1
10486,ABL1,SFN
10487,ABL1,SH3BP1
10488,ABL1,SH3KBP1
10489,ABL1,SHB
10490,ABL1,SHC1
10491,ABL1,SHD
10492,ABL1,SHE
10493,ABL1,SLC9A2
10494,ABL1,SNCA
10495,ABL1,SOCS1
10496,ABL1,SOCS3
10497,ABL1,SORBS1
10498,ABL1,SORBS2
10499,ABL1,SOS1
10500,ABL1,SPAG9
10501,ABL1,SPRR2A
10502,ABL1,SPTA1
10503,ABL1,SPTAN1
10504,ABL1,SQSTM1
10505,ABL1,SRC
10506,ABL1,SRCIN1
10507,ABL1,SRPK2
10508,ABL1,ST5
10509,ABL1,STK4
10510,ABL1,STON2
10511,ABL1,STUB1
10512,ABL1,SUB1
10513,ABL1,SORBS3
10514,ABL1,TERF1
10515,ABL1,TMPO
10516,ABL1,TOPBP1
10517,ABL1,TP53
10518,ABL1,TP73
10519,ABL1,TRIM25
10520,ABL1,TUB
10521,ABL1,UBASH3B
10522,ABL1,UBC
10523,ABL1,USP7
10524,ABL1,VAV1
10525,ABL1,WASF1
10526,ABL1,WASF2
10527,ABL1,WRNIP1
10528,ABL1,WASF1
10529,ABL1,XPO1
10530,ABL1,XRCC6
10531,ABL1,YAP1
10532,ABL1,YTHDC1
10533,ABL1,YWHAB
10534,ABL1,YWHAE
10535,ABL1,YWHAG
10536,ABL1,YWHAH
10537,ABL1,YWHAQ
10538,ABL1,YWHAZ
10539,ABL1,ZAP70
10540,ABL1,ZDHHC16
10541,ABL1,ZBTB48
10542,ABL1,CED-2
11280,ADAM28,ADAM11
11281,ADAM28,ADAM12
11282,ADAM28,ADAM19
11283,ADAM28,ADAM1B
11284,ADAM28,ADAM2
11285,ADAM28,ADAM22
11286,ADAM28,ADAM23
11287,ADAM28,ADAM25
11288,ADAM28,ADAM26A
11289,ADAM28,ADAM28
11290,ADAM28,ADAM32
11291,ADAM28,ADAM5
11292,ADAM28,ADAM7
11293,ADAM28,ADAM8
11294,ADAM28,CSK
11295,ADAM28,PLAU
11296,ADAM28,SENP2
11297,ADAM28,TP53
12042,ADAMTSL1,ACOX1
12043,ADAMTSL1,B3GALTL
12044,ADAMTSL1,C2ORF44
12045,ADAMTSL1,CUL3
12046,ADAMTSL1,DDRGK1
12047,ADAMTSL1,FBN2
12048,ADAMTSL1,FHL2
12049,ADAMTSL1,GRN
12050,ADAMTSL1,RSPRY1
17025,ARL17A,C3ORF52
17026,ARL17A,CX3CL1
17027,ARL17A,DDX39A
17028,ARL17A,EGFR
17029,ARL17A,FTL
17030,ARL17A,GGT7
17031,ARL17A,KCNA2
17032,ARL17A,KCNE3
17033,ARL17A,KRAS
17034,ARL17A,LHFPL2
17035,ARL17A,MICB
17036,ARL17A,PCDH10
17037,ARL17A,PIPSL
17038,ARL17A,RNF149
17039,ARL17A,RNF19B
17040,ARL17A,SLC31A1
17041,ARL17A,TMEM74
17042,ARL17A,TSPAN3
19133,ART3,ALCAM
19134,ART3,ARSK
19135,ART3,ATP12A
19136,ART3,ART3
19137,ART3,CBWD3
19138,ART3,CHD1L
19139,ART3,DDX19B
19140,ART3,DYNC2LI1
19141,ART3,GALNT7
19142,ART3,GPD1L
