,g1,g2
8228,AKAP13,AGR2
8229,AKAP13,ANXA2
8230,AKAP13,APC
8231,AKAP13,APP
8232,AKAP13,ARHGEF18
8233,AKAP13,ATG16L1
8234,AKAP13,AKAP13
8235,AKAP13,ARHGAP21
8236,AKAP13,ARHGAP26
8237,AKAP13,ARHGAP40
8238,AKAP13,ARHGAP42
8239,AKAP13,ARHGEF10
8240,AKAP13,ARHGEF12
8241,AKAP13,ARHGEF18
8242,AKAP13,ARHGEF19
8243,AKAP13,ARHGEF2
8244,AKAP13,ARHGEF28
8245,AKAP13,ARHGEF5
8246,AKAP13,ARHGEF7
8247,AKAP13,ATG16L1
8248,AKAP13,BAK1
8249,AKAP13,C15ORF59
8250,AKAP13,CCNT1
8251,AKAP13,CCNT2
8252,AKAP13,CTDP1
8253,AKAP13,CTNNAL1
8254,AKAP13,CUL3
8255,AKAP13,CENPE
8256,AKAP13,CHN2
8257,AKAP13,DAK
8258,AKAP13,DDX42
8259,AKAP13,EFTUD2
8260,AKAP13,EGLN3
8261,AKAP13,ESR1
8262,AKAP13,ESR2
8263,AKAP13,EPS8
8264,AKAP13,FBXW11
8265,AKAP13,FBXW7
8266,AKAP13,FGD4
8267,AKAP13,GALM
8268,AKAP13,GNA12
8269,AKAP13,GNAQ
8270,AKAP13,HARS2
8271,AKAP13,HNRNPL
8272,AKAP13,KIAA1429
8273,AKAP13,LINC00839
8274,AKAP13,LNX1
8275,AKAP13,LRRC31
8276,AKAP13,MAP1LC3A
8277,AKAP13,MAP2K3
8278,AKAP13,MKI67
8279,AKAP13,MTA1
8280,AKAP13,MTR
8281,AKAP13,MYC
8282,AKAP13,MYCN
8283,AKAP13,NHLRC2
8284,AKAP13,NUDT21
8285,AKAP13,NET1
8286,AKAP13,NGEF
8287,AKAP13,PCMT1
8288,AKAP13,PFN1
8289,AKAP13,PPARA
8290,AKAP13,PPP1CC
8291,AKAP13,PRDX2
8292,AKAP13,PRKACA
8293,AKAP13,PRKAR2A
8294,AKAP13,PRKAR2B
8295,AKAP13,PRKCA
8296,AKAP13,PRKCH
8297,AKAP13,PRKD1
8298,AKAP13,PRPF4B
