,g1,g2
5185,NT5C1B,AGRN
5186,NT5C1B,UBC
5187,NT5C1B,UBE2M
6539,PHYKPL,BFAR
6540,PHYKPL,CEP131
6541,PHYKPL,DDX58
6542,PHYKPL,DGUOK
6543,PHYKPL,DUSP12
6544,PHYKPL,GIT1
6545,PHYKPL,HNRNPH1
6546,PHYKPL,HNRNPL
6547,PHYKPL,LNX2
6548,PHYKPL,METTL17
6549,PHYKPL,POT1
6550,PHYKPL,USO1
6551,PHYKPL,VAC14
6552,PHYKPL,YTHDC1
6553,PHYKPL,ZNF684
10948,ADAM15,ADAM33
10949,ADAM15,ARHGEF6
10950,ADAM15,ARHGEF7
10951,ADAM15,ATXN1
10952,ADAM15,ADAM15
10953,ADAM15,BANP
10954,ADAM15,BRICD5
10955,ADAM15,CANX
10956,ADAM15,CLEC2B
10957,ADAM15,CUL3
10958,ADAM15,DPP4
10959,ADAM15,ECEL1
10960,ADAM15,EDN3
10961,ADAM15,ESR2
10962,ADAM15,FBXO6
10963,ADAM15,FHL3
10964,ADAM15,FUT8
10965,ADAM15,FYN
10966,ADAM15,GRB2
10967,ADAM15,HCK
10968,ADAM15,HNRNPH1
10969,ADAM15,LCK
10970,ADAM15,LMBR1L
10971,ADAM15,LYN
10972,ADAM15,LYPD4
10973,ADAM15,MAD2L1
10974,ADAM15,MAD2L2
10975,ADAM15,MAPK1
10976,ADAM15,MAPK3
10977,ADAM15,NCK1
10978,ADAM15,NONO
10979,ADAM15,NPHP1
10980,ADAM15,NUP62
10981,ADAM15,ODAM
10982,ADAM15,ORF7A
10983,ADAM15,ORF7B
10984,ADAM15,ORF8
10985,ADAM15,PACSIN3
10986,ADAM15,PLD3
10987,ADAM15,PRG2
10988,ADAM15,PTK6
10989,ADAM15,RBPMS
10990,ADAM15,SDF2L1
10991,ADAM15,SFTPC
10992,ADAM15,SH3GL2
10993,ADAM15,SH3GLB1
10994,ADAM15,SH3PXD2A
10995,ADAM15,SH3RF3
10996,ADAM15,SNX30
10997,ADAM15,SNX33
10998,ADAM15,SNX9
10999,ADAM15,SORBS2
11000,ADAM15,SP4
11001,ADAM15,SRC
11002,ADAM15,ST8SIA5
11003,ADAM15,SGIP1
11004,ADAM15,TMEM106B
11005,ADAM15,TMPRSS11B
11006,ADAM15,TMPRSS2
11007,ADAM15,TMPRSS4
11008,ADAM15,TRIM25
11009,ADAM15,TRIP13
11010,ADAM15,TMEM173
11011,ADAM15,YES1
11012,ADAM15,NSP4
20835,AKT1,26-29-P
20836,AKT1,ABHD15
20837,AKT1,ABI1
20838,AKT1,ACAP1
20839,AKT1,ACAT2
20840,AKT1,ACTA1
20841,AKT1,ACTB
20842,AKT1,AGAP2
20843,AKT1,AGR3
20844,AKT1,AHSA1
