1,4-alpha-glucan branching enzyme 1	GBE1	GLGB_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 1	AGPAT1	PLCA_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 2	AGPAT2	A0A024R8F9_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 2	AGPAT2	PLCB_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 2	AGPAT2	PLCB_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3	PLCC_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3	PLCC_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3	PLCC_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 4	AGPAT4	PLCD_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 4	AGPAT4	PLCD_HUMAN
1-acylglycerol-3-phosphate O-acyltransferase 5	AGPAT5	PLCE_HUMAN
1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	1A1L1_HUMAN
1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	1A1L1_HUMAN
1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ACCSL	1A1L2_HUMAN
15-hydroxyprostaglandin dehydrogenase	HPGD	PGDH_HUMAN
15-hydroxyprostaglandin dehydrogenase	HPGD	PGDH_HUMAN
15-hydroxyprostaglandin dehydrogenase	HPGD	PGDH_HUMAN
15-hydroxyprostaglandin dehydrogenase	HPGD	PGDH_HUMAN
15-hydroxyprostaglandin dehydrogenase	HPGD	PGDH_HUMAN
2',3'-cyclic nucleotide 3' phosphodiesterase	CNP	A0A024R1T5_HUMAN
2',3'-cyclic nucleotide 3' phosphodiesterase	CNP	CN37_HUMAN
2',3'-cyclic nucleotide 3' phosphodiesterase	CNP	CN37_HUMAN
2'-5'-oligoadenylate synthetase 1	OAS1	A0A7P0Z4N8_HUMAN
2'-5'-oligoadenylate synthetase 1	OAS1	H0YIB8_HUMAN
2'-5'-oligoadenylate synthetase 1	OAS1	OAS1_HUMAN
2'-5'-oligoadenylate synthetase 1	OAS1	OAS1_HUMAN
2'-5'-oligoadenylate synthetase 1	OAS1	OAS1_HUMAN
2'-5'-oligoadenylate synthetase 1	OAS1	OAS1_HUMAN
2'-5'-oligoadenylate synthetase 2	OAS2	OAS2_HUMAN
2'-5'-oligoadenylate synthetase 2	OAS2	OAS2_HUMAN
2'-5'-oligoadenylate synthetase 2	OAS2	OAS2_HUMAN
2'-5'-oligoadenylate synthetase 2	OAS2	Q7Z6D0_HUMAN
2'-5'-oligoadenylate synthetase 3	OAS3	A0A7P0T9J0_HUMAN
2'-5'-oligoadenylate synthetase 3	OAS3	OAS3_HUMAN
2'-5'-oligoadenylate synthetase like	OASL	A0A7P0T9H8_HUMAN
2'-5'-oligoadenylate synthetase like	OASL	OASL_HUMAN
2'-5'-oligoadenylate synthetase like	OASL	OASL_HUMAN
2'-5'-oligoadenylate synthetase like	OASL	OASL_HUMAN
2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH1	DNPH1_HUMAN
2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH1	DNPH1_HUMAN
2,4-dienoyl-CoA reductase 1	DECR1	DECR_HUMAN
2,4-dienoyl-CoA reductase 1	DECR1	DECR_HUMAN
2,4-dienoyl-CoA reductase 2	DECR2	DECR2_HUMAN
2,4-dienoyl-CoA reductase 2	DECR2	DECR2_HUMAN
2,4-dienoyl-CoA reductase 2	DECR2	DECR2_HUMAN
2-aminoethanethiol dioxygenase	ADO	AEDO_HUMAN
2-aminoethanethiol dioxygenase	ADO	B3KXN9_HUMAN
2-hydroxyacyl-CoA lyase 1	HACL1	B4DXR1_HUMAN
2-hydroxyacyl-CoA lyase 1	HACL1	HACL1_HUMAN
2-hydroxyacyl-CoA lyase 1	HACL1	HACL1_HUMAN
2-hydroxyacyl-CoA lyase 1	HACL1	HACL1_HUMAN
2-hydroxyacyl-CoA lyase 1	HACL1	HACL1_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 1	OGFOD1	OGFD1_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 1	OGFOD1	OGFD1_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD2	A0A024RBQ7_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD2	B3KTF4_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD2	OGFD2_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD2	OGFD2_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD2	OGFD2_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD2	OGFD2_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 3	OGFOD3	OGFD3_HUMAN
2-oxoglutarate and iron dependent oxygenase domain containing 3	OGFOD3	OGFD3_HUMAN
2-phosphoxylose phosphatase 1	PXYLP1	B7Z3R9_HUMAN
2-phosphoxylose phosphatase 1	PXYLP1	B7Z4T2_HUMAN
2-phosphoxylose phosphatase 1	PXYLP1	PXYP1_HUMAN
2-phosphoxylose phosphatase 1	PXYLP1	PXYP1_HUMAN
24-dehydrocholesterol reductase	DHCR24	DHC24_HUMAN
24-dehydrocholesterol reductase	DHCR24	DHC24_HUMAN
3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	B7Z9J7_HUMAN
3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	BPNT1_HUMAN
3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	BPNT1_HUMAN
3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	BPNT1_HUMAN
3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	BPNT1_HUMAN
3'(2'), 5'-bisphosphate nucleotidase 2	BPNT2	IMPA3_HUMAN
3'-phosphoadenosine 5'-phosphosulfate synthase 1	PAPSS1	PAPS1_HUMAN
3'-phosphoadenosine 5'-phosphosulfate synthase 2	PAPSS2	PAPS2_HUMAN
3'-phosphoadenosine 5'-phosphosulfate synthase 2	PAPSS2	PAPS2_HUMAN
3-hydroxy-3-methylglutaryl-CoA lyase	HMGCL	HMGCL_HUMAN
3-hydroxy-3-methylglutaryl-CoA lyase	HMGCL	HMGCL_HUMAN
3-hydroxy-3-methylglutaryl-CoA lyase	HMGCL	HMGCL_HUMAN
3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	HMDH_HUMAN
3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	HMDH_HUMAN
3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	HMDH_HUMAN
3-hydroxy-3-methylglutaryl-CoA synthase 1	HMGCS1	HMCS1_HUMAN
3-hydroxy-3-methylglutaryl-CoA synthase 2	HMGCS2	HMCS2_HUMAN
3-hydroxy-3-methylglutaryl-CoA synthase 2	HMGCS2	HMCS2_HUMAN
3-hydroxy-3-methylglutaryl-CoA synthase 2	HMGCS2	HMCS2_HUMAN
3-hydroxyacyl-CoA dehydratase 1	HACD1	HACD1_HUMAN
3-hydroxyacyl-CoA dehydratase 1	HACD1	HACD1_HUMAN
3-hydroxyacyl-CoA dehydratase 2	HACD2	HACD2_HUMAN
3-hydroxyacyl-CoA dehydratase 3	HACD3	H3BRL8_HUMAN
3-hydroxyacyl-CoA dehydratase 3	HACD3	HACD3_HUMAN
3-hydroxyacyl-CoA dehydratase 3	HACD3	HACD3_HUMAN
3-hydroxyacyl-CoA dehydratase 4	HACD4	HACD4_HUMAN
3-hydroxyanthranilate 3,4-dioxygenase	HAAO	3HAO_HUMAN
3-hydroxyanthranilate 3,4-dioxygenase	HAAO	3HAO_HUMAN
3-hydroxybutyrate dehydrogenase 1	BDH1	BDH_HUMAN
3-hydroxybutyrate dehydrogenase 2	BDH2	BDH2_HUMAN
3-hydroxybutyrate dehydrogenase 2	BDH2	BDH2_HUMAN
3-hydroxybutyrate dehydrogenase 2	BDH2	BDH2_HUMAN
3-hydroxyisobutyrate dehydrogenase	HIBADH	3HIDH_HUMAN
3-hydroxyisobutyryl-CoA hydrolase	HIBCH	HIBCH_HUMAN
3-hydroxyisobutyryl-CoA hydrolase	HIBCH	HIBCH_HUMAN
3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL1	B7Z212_HUMAN
3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL1	HMGC2_HUMAN
3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL1	HMGC2_HUMAN
3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL1	HMGC2_HUMAN
3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL1	HMGC2_HUMAN
3-ketodihydrosphingosine reductase	KDSR	K7ERC8_HUMAN
3-ketodihydrosphingosine reductase	KDSR	KDSR_HUMAN
3-ketodihydrosphingosine reductase	KDSR	KDSR_HUMAN
3-oxoacid CoA-transferase 1	OXCT1	SCOT1_HUMAN
3-oxoacid CoA-transferase 1	OXCT1	SCOT1_HUMAN
3-oxoacid CoA-transferase 2	OXCT2	SCOT2_HUMAN
3-oxoacyl-ACP synthase, mitochondrial	OXSM	B4E3Q7_HUMAN
3-oxoacyl-ACP synthase, mitochondrial	OXSM	OXSM_HUMAN
3-oxoacyl-ACP synthase, mitochondrial	OXSM	OXSM_HUMAN
3-phosphoinositide dependent protein kinase 1	PDPK1	PDPK1_HUMAN
3-phosphoinositide dependent protein kinase 1	PDPK1	PDPK1_HUMAN
3-phosphoinositide dependent protein kinase 1	PDPK1	PDPK1_HUMAN
3-phosphoinositide dependent protein kinase 1	PDPK1	PDPK1_HUMAN
3-phosphoinositide dependent protein kinase 1	PDPK1	PDPK1_HUMAN
4-aminobutyrate aminotransferase	ABAT	GABT_HUMAN
